City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
626,Srednekolymsk,67.45,153.6833,24.85,79,100,5.35,RU,2022-04-23 06:57:11,overcast clouds
627,Formosa Do Rio Preto,-11.0483,-45.1931,69.12,74,40,1.92,BR,2022-04-23 06:54:12,scattered clouds
628,Guiratinga,-16.3494,-53.7583,68.16,75,15,3.76,BR,2022-04-23 06:57:11,few clouds
629,Karangasem,-8.45,115.6167,84.36,72,100,3.13,ID,2022-04-23 06:57:12,overcast clouds
630,Ngunguru,-35.6167,174.5,59.41,77,0,9.17,NZ,2022-04-23 06:57:12,clear sky
631,Tahta,26.7693,31.5021,74.05,24,0,11.34,EG,2022-04-23 06:57:13,clear sky
632,Pascagoula,30.3658,-88.5561,62.73,98,0,7.58,US,2022-04-23 06:57:13,clear sky
633,Baherden,38.4362,57.4316,71.42,53,90,4.03,TM,2022-04-23 06:57:14,overcast clouds
634,Damghan,36.1683,54.348,72.66,25,0,3.91,IR,2022-04-23 06:57:14,clear sky
635,Inirida,3.8653,-67.9239,71.82,95,19,2.46,CO,2022-04-23 06:57:14,few clouds
636,Dalbandin,28.8947,64.4101,94.28,10,5,10.96,PK,2022-04-23 06:57:15,clear sky
637,Boca Do Acre,-8.7522,-67.3978,71.37,99,57,2.53,BR,2022-04-23 06:57:15,broken clouds
638,Finnsnes,69.2296,17.9811,38.01,68,96,3.42,NO,2022-04-23 06:57:16,overcast clouds
639,General Pico,-35.6566,-63.7568,51.21,58,2,9.62,AR,2022-04-23 06:58:16,light rain
640,Sisimiut,66.9395,-53.6735,26.08,92,100,5.73,GL,2022-04-23 06:58:17,overcast clouds
641,High Rock,26.6208,-78.2833,66.22,64,52,18.77,BS,2022-04-23 06:58:17,broken clouds
642,Alta Floresta,-9.8756,-56.0861,69.06,98,78,2.51,BR,2022-04-23 06:58:17,broken clouds
643,Mormugao,15.4,73.8,88.5,67,0,10.4,IN,2022-04-23 06:58:18,clear sky
