City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,College,US,2022-04-09 00:35:24,64.8569,-147.8028,16.23,45,75,14.97
60,San Buenaventura,MX,2022-04-09 00:35:24,27.0833,-101.5333,85.12,18,20,11.5
61,Mahebourg,MU,2022-04-09 00:35:25,-20.4081,57.7,76.24,94,75,13.8
62,Cherskiy,RU,2022-04-09 00:35:25,68.75,161.3,-6.57,84,32,5.35
63,Torzhok,RU,2022-04-09 00:35:25,57.0436,34.9622,37.44,95,100,6.78
64,Chokurdakh,RU,2022-04-09 00:35:26,70.6333,147.9167,-11.7,91,12,9.37
65,Baie-Comeau,CA,2022-04-09 00:35:26,49.2168,-68.1489,33.48,100,100,21.85
66,Havelock,US,2022-04-09 00:35:26,34.8791,-76.9013,64.94,62,40,10.36
67,Orlovskiy,RU,2022-04-09 00:35:27,46.8714,42.0592,48.6,88,100,16.08
68,Lavrentiya,RU,2022-04-09 00:35:27,65.5833,-171.0,2.61,83,100,2.8
69,Sterling,US,2022-04-09 00:32:29,39.0062,-77.4286,56.23,72,75,23.02
70,Taunggyi,MM,2022-04-09 00:35:28,20.7833,97.0333,67.95,65,2,3.11
71,San Joaquin,US,2022-04-09 00:35:28,37.9333,-121.3011,91.65,20,0,11.5
72,Puerto Ayora,EC,2022-04-09 00:35:28,-0.7393,-90.3518,77.81,86,41,5.84
73,New Norfolk,AU,2022-04-09 00:35:29,-42.7826,147.0587,66.88,55,7,1.99
74,Barrow,US,2022-04-09 00:35:29,71.2906,-156.7887,5.02,72,100,16.11
75,Ulaanbaatar,MN,2022-04-09 00:35:29,47.9077,106.8832,48.33,27,0,4.47
76,Natal,BR,2022-04-09 00:35:30,-5.795,-35.2094,80.82,83,20,5.75
77,Hilo,US,2022-04-09 00:35:30,19.7297,-155.09,75.25,83,100,4.61
78,Puerto Narino,CO,2022-04-09 00:35:31,-3.7703,-70.3831,74.97,96,91,1.66
79,Punta Arenas,CL,2022-04-09 00:35:31,-53.15,-70.9167,41.11,87,0,8.05
80,Albany,US,2022-04-09 00:35:31,42.6001,-73.9662,48.92,74,56,3.27
81,Bud,US,2022-04-09 00:35:31,39.447,-86.1758,41.02,83,84,11.63
82,Arraial Do Cabo,BR,2022-04-09 00:35:32,-22.9661,-42.0278,76.48,83,100,17.11
83,Laguna,US,2022-04-09 00:30:34,38.421,-121.4238,90.68,25,0,5.75
84,Anadyr,RU,2022-04-09 00:35:32,64.75,177.4833,10.9,72,0,4.47
85,Aklavik,CA,2022-04-09 00:35:33,68.2191,-135.0107,12.7,91,100,20.87
86,Jacmel,HT,2022-04-09 00:35:33,18.2342,-72.5347,84.04,81,95,5.66
87,Wanaka,NZ,2022-04-09 00:35:33,-44.7,169.15,57.11,58,2,1.99
88,Marzuq,YE,2022-04-09 00:35:34,14.4,46.4667,65.75,27,0,5.21
89,Hami,CN,2022-04-09 00:35:34,42.8,93.45,64.0,29,100,16.84
90,Medowie,AU,2022-04-09 00:35:34,-32.7333,151.8667,72.99,93,100,4.61
91,Gagra,GE,2022-04-09 00:36:35,43.3283,40.2239,49.12,90,100,3.36
92,Upernavik,GL,2022-04-09 00:36:35,72.7868,-56.1549,7.75,96,100,4.81
93,Caravelas,BR,2022-04-09 00:36:36,-17.7125,-39.2481,76.46,83,5,4.72
94,Westport,US,2022-04-09 00:36:36,41.1415,-73.3579,55.02,59,0,14.97
95,Iranshahr,IR,2022-04-09 00:36:36,27.2025,60.6848,73.89,22,0,2.59
96,Cuenca,EC,2022-04-09 00:32:21,-2.8833,-78.9833,60.93,88,75,10.36
97,Mar Del Plata,AR,2022-04-09 00:36:37,-38.0023,-57.5575,65.08,91,0,4.0
98,Leningradskiy,RU,2022-04-09 00:36:37,69.3833,178.4167,-4.22,75,97,3.11
99,Baldeogarh,IN,2022-04-09 00:36:38,24.755,79.0681,82.33,12,0,9.08
100,Saint Anthony,US,2022-04-09 00:36:38,45.0205,-93.218,44.38,32,0,18.41
101,Georgetown,MY,2022-04-09 00:32:41,5.4112,100.3354,80.53,93,20,3.44
102,Shibetsu,JP,2022-04-09 00:36:38,43.659,145.132,41.7,75,75,12.66
103,Santa Cruz,BO,2022-04-09 00:32:23,-17.8,-63.1667,78.26,89,75,3.44
104,Wad Rawah,SD,2022-04-09 00:36:39,15.1603,33.1397,88.99,16,5,10.74
105,Sao Joao Da Barra,BR,2022-04-09 00:36:39,-21.6403,-41.0511,76.3,82,8,9.51
106,Voznesenye,RU,2022-04-09 00:36:39,61.0106,35.4781,38.7,98,100,7.63
107,Sorong,ID,2022-04-09 00:36:40,-0.8833,131.25,81.48,79,100,9.13
108,Longyearbyen,SJ,2022-04-09 00:36:40,78.2186,15.6401,12.04,73,40,13.8
109,Gunzenhausen,DE,2022-04-09 00:36:40,49.1,10.75,35.06,91,100,14.99
110,Torbay,CA,2022-04-09 00:35:28,47.6666,-52.7314,31.57,88,100,8.99
111,Bend,US,2022-04-09 00:35:02,44.0582,-121.3153,46.87,44,8,8.99
112,Eravur,LK,2022-04-09 00:36:41,7.7733,81.6095,78.08,85,100,5.77
113,Coxim,BR,2022-04-09 00:36:41,-18.5067,-54.76,81.41,65,80,2.73
114,Ostrovnoy,RU,2022-04-09 00:36:42,68.0531,39.5131,32.05,97,100,21.85
115,Kulhudhuffushi,MV,2022-04-09 00:36:42,6.6221,73.07,82.54,73,100,4.92
116,Bathsheba,BB,2022-04-09 00:36:42,13.2167,-59.5167,77.61,88,75,16.11
117,Bhadrachalam,IN,2022-04-09 00:36:43,17.6667,80.8833,79.29,84,100,6.26
118,Kruisfontein,ZA,2022-04-09 00:36:43,-34.0033,24.7314,56.88,84,100,6.76
119,Hithadhoo,MV,2022-04-09 00:36:43,-0.6,73.0833,83.12,68,97,9.35
120,Vila Franca Do Campo,PT,2022-04-09 00:36:44,37.7167,-25.4333,63.01,89,84,30.71
121,Port Elizabeth,ZA,2022-04-09 00:36:44,-33.918,25.5701,59.09,96,75,3.44
122,Champerico,GT,2022-04-09 00:36:45,14.3,-91.9167,81.14,65,88,3.53
123,Wilmington,US,2022-04-09 00:36:45,34.2257,-77.9447,62.85,56,20,8.05
124,Lebu,CL,2022-04-09 00:36:45,-37.6167,-73.65,52.9,90,2,6.06
125,Pevek,RU,2022-04-09 00:36:46,69.7008,170.3133,-6.86,83,100,5.53
126,Cidreira,BR,2022-04-09 00:36:46,-30.1811,-50.2056,68.13,83,100,13.0
127,Bubaque,GW,2022-04-09 00:36:46,11.2833,-15.8333,76.59,78,5,12.97
128,Husavik,IS,2022-04-09 00:36:47,66.0449,-17.3389,20.64,84,37,5.26
129,Klaksvik,FO,2022-04-09 00:36:47,62.2266,-6.589,32.92,63,100,21.92
130,Tiksi,RU,2022-04-09 00:36:47,71.6872,128.8694,-3.77,100,100,5.03
131,Kaduqli,SD,2022-04-09 00:36:48,11.0167,29.7167,84.76,36,1,2.66
132,Sao Joao Do Paraiso,BR,2022-04-09 00:36:48,-15.3136,-42.0144,74.37,58,100,4.61
